track,artist,popularity,lyrics
Bukan Orangnya,Juicy Luicy,73,"Lingkaranku kerap bertanya
Mengapa ku tampak biasa-biasa saja
Jalani hari dan tertawa
Apa selama ini ku tak benar cinta
Tak harus ku alirkan air mata
Untuk tunjukkan derita
Dia tinggalkan ku seketika
Tak perlu ku terus-terus bertanya
Apa alasannya
Mungkin dia bukan orangnya
Mengapa ku mudah terima
Apa selama ini ku tak benar cinta
Tak harus ku alirkan air mata
Untuk tunjukkan derita
Dia tinggalkan ku seketika
Tak perlu ku terus-terus bertanya
Apa alasannya
Mungkin dia bukan orangnya
Mungkin memang sudah waktunya
Walau kadangkala
Rindu menyapa ada saat-saatnya
Tak harus ku alirkan air mata
Untuk tunjukkan derita
Dia tinggalkan ku seketika
Tak perlu terus-terus bertanya
Apa alasannya
Mungkin dia bukan orangnya
Berdansa bukan tanda ku bahagia
Kita rayakan saja
Sedih kan takkan selamanya
Mungkin memang sudah waktunya
Mungkin dia bukan orangnya"
Berlari,Bernadya,72,"Seperti yang telah kuduga
Tujuh hari menghilang kini kau datang lagi
Merangkum kabar sepekan
Meski katamu minggu ini banyak tak senangnya
Aaa... tak sesuai rencana
Aaa... bukankah harusnya
Kita tak saling berkabar lagi
Itu katamu kemarin
Setidaknya aku jadi yang pertama kau kabari
Saat harimu kurang menarik
Sampai nanti suatu pagi
Kau tak butuh aku lagi
Kapan pun kau panggil
Ku ke situ berlari
Susah payah ku menahan
Untuk tak kabarimu tapi malah kau runtuhkan
Aaa... semua upaya
Aaa... kupikirkan ulang
Kau tak punya siapa-siapa lagi
Tuk cerita hari-hari
Setidaknya aku jadi yang pertama kau kabari
Saat harimu kurang menarik
Sampai nanti suatu pagi
Kau tak butuh aku lagi
Kapan pun kau panggil
Ku ke situ berlari
Ku ke situ berlari
Tanpa pikir dua kali
Tak bisa kupungkiri kabar darimu
Masih jadi yang paling kunanti
Meski besok pasti
Kau sudah hilang lagi"
penjaga hati,Nadhif Basalamah,72,"Tak sadar ku temukan
Temukan wanita rupawan
Yang sadarkan
Dia seorang
Tiada lain tiada bukan
Hanya dia
Dia buatku nyaman
Dalam hangat pelukan
Dia perasa
Yang mengerti yang kurasa
Hanya dia
Kan ku arungi tujuh laut samudra
Kan ku daki pegunungan himalaya
Apapun kan ku lakukan tuk dirimu sayang
Oh penjaga hatiku
Kau dan aku sempurna
Semoga ada cara tuk terus bersama
Selalu ku tunggu
Tak mau berlalu
Kau dan aku
Kan ku arungi tujuh laut samudra
Kan ku daki pegunungan himalaya
Apapun kan ku lakukan tuk dirimu sayang
Oh penjaga hatiku
Karna bersamamu semua terasa indah
Gundah gulana hatiku pun hancur sirna
Janji ku tak kan ku lepas wahai kau bidadariku dari surga
Tuk selamanya
Tuk selamanya"
Ambang Pintu,Bernadya,70,"[Verse 1]
Perpisahan yang cukup dingin di awal Januari
Tangisku pecah lihat langkahmu sudah jauh pergi
Lucunya aku masih berharap kau putar balik berlari
Pikirkan semua baik-baik
[Pre-Chorus]
Tak kututup pintu itu
Kubiarkan kau berlalu lalang semaumu
[Chorus]
Di ambang pintu ku menunggu siapa tahu
Kau kembali
Kubuka lebar-lebar tak menutup kesempatan
Mungkin saja kau kembali
[Verse 2]
Bukankah kemarin kau bilang masih ingin bertemu?
Yakinmu penuh kita masih bisa kembali utuh
Entah apa yang buatmu bisa secepat itu menjauh
Sudahkah kau pikir baik-baik?
[Bridge]
Jika ku tak ada
Benarkah tak apa?
Jika tak terbiasa
Kujaga pintu terbuka
[Outro]
Di ambang pintu ku menunggu siapa tahu
Kau kembali
Kubuka lebar-lebar tak menutup kesempatan
Mungkin saja kau kembali"
Kita Kubur Sampai Mati,Bernadya,70,"[Verse 1]
Hening, sepanjang perjalanan pulang
Habis, sudah kucurahkan semua
Hari-hari sebelumnya, kamu masih tetap diam
Seperti aku yang gila, memaksamu 'tuk bicara
Hening, sepanjang perjalanan pulang
Lelah, memintamu tetap tinggal
Berharap ku salah dengar, berharap kau salah ucap
Keputusan sudah bulat, jadi aku bisa apa?
[Chorus]
Saat cinta sudah habis
Sisa janji-janji manis
Yang tak akan ditepati
Kita kubur sampai mati
[Verse 2]
Hening, sepanjang perjalanan pulang
Entah lebih dingin mana, hatimu atau penyejuk udara?
Bising, semua berlalu lalang
Berantakan di kepala, berbagai macam suara
Tapi aku bisa apa?
[Chorus]
Saat cinta sudah habis
Sisa janji-janji manis
Yang tak akan ditepati
Kita kubur sampai mati
Harga diri yang terkikis
Terbuang untuk mengemis
Rasa yang takkan kembali
Kita kubur sampai mati
[Guitar Break]
[Chorus]
Saat cinta sudah habis
Sisa janji-janji manis
Yang tak akan ditepati
Kita kubur sampai mati
Harga diri yang terkikis
Terbuang untuk mengemis
Rasa yang takkan kembali
Kita kubur sampai mati"
Asing,Juicy Luicy,69,"Masihkah ungu muda
Warna langit yang paling engkau suka
Masihkah sering lupa
Dimana letaknya kau simpan kacamata
Tanpa niat kuhafal semua masih saja aku mengingatnya
Dahulu ku mengenalmu paling
Semua tentangmu tertawa denganmu
Mengapa kini berubah asing
Tak saling menyapa lupa ku pernah disana
Masihkah kau yang sama
Gunakan tertawa buat tutupi luka
Lagu yang kau putar tiap hari
Sekarang kunikmati sendiri wo
Dahulu ku mengenalmu paling
Semua tentangmu tertawa denganmu
Mengapa kini berubah asing
Tak saling menyapa lupa ku pernah disana
Kadang kau hadir lagi tapi di mimpi
Sedikit mengobati hati terbangun pagi kau nya tak di sini
Dahulu ku mengenalmu paling
Semua tentangmu tertawa denganmu
Mengapa kini berubah asing
Tak saling menyapa lupa ku pernah disana
Dahulu aku yang paling mengenalmu
Semua kegemaranmu
Mengapa kini berubah asing
Tak saling menyapa
Lupa ku pernah disana
Lupakah kau sebenarnya"
Jiwa Yang Bersedih,Ghea Indrawari,67,"Ghea Indrawawri kembali membuai para pecinta musik Tanah Air lewat suara emasnya lewat lagu 'Jiwa Yang Bersedih'. Lagu ini menceritakan tentang perjalanan seseorang dalam menjalani kehidupan. Liriknya begitu mendalam dan penuh makna. Simak selengkapnya di bawah ini..
Ta da ta da
Kemarilah
Singgah dulu sebentar
Perjalananmu jauh
Tak ada tempat berteduh
Menangislah
Kan kau juga manusia
Mana ada yang bisa
Berlarut-larut
Berpura-pura sempurna
Sampaikan pada jiwa yang bersedih
Begitu dingin dunia yang kau huni
Jika tak ada tempatmu kembali
Bawa lukamu biar aku obati
Tidak kah letih kakimu berlari
Ada hal yang tak mereka mengerti
Beri waktu tuk bersandar sebentar
Selama ini kau hebat
Hanya kau tak didengar
Ho oh
Menangislah
Kan kau juga manusia
Mana ada yang bisa
Berlarut-larut
Berpura-pura sempurna
Sampaikan pada jiwa yang bersedih
Begitu dingin dunia yang kau huni
Jika tak ada tempatmu kembali
Bawa lukamu biar aku obati
Tidak kah letih kakimu berlari
Ada hal yang tak mereka mengerti
Beri waktu tuk bersandar sebentar
Selama ini kau hebat
Hanya kau tak didengar
Uh uh
Oh oh
Sampaikan pada jiwa yang bersedih
Begitu dingin dunia yang kau huni
Jika tak ada tempatmu kembali
Bawa lukamu biar aku obati
Tidak kah letih kakimu berlari
Ada hal yang tak mereka mengerti
Beri waktu tuk bersandar sebentar
Selama ini kau hebat
Hanya kau tak didengar ah
Tak didengar
Tidak kah letih kakimu berlari
Ada hal yang tak mereka mengerti
Beri waktu tuk bersandar sebentar
Selama ini kau hebat
Hanya kau tak didengar
Selama ini kau hebat
Kau pasti kan didengar"
Sayangnya,Juicy Luicy,66,"Malam lebih dingin dari biasa
Apa mungkin karena ku belum dapat terima
Kata kau utarakan berbeda
Dengan laju kapalku yang mengarah tenggara
Tak lagi wajib kabari
Bukan bagianku lagi
Hidup sendiri-sendiri
Sayangnya semua tak berjalan
Sedangkan bertahan bukan suatu pilihan
Sayangnya kita hanya bisa mengenang
Menikmati hujan, lebih indah dari kenyataan
Oh kata kau utarakan berbeda
Dengan laju kapalku yang mengarah tenggara (huuu~~)
Tak lagi wajib kabari
Bukan bagianku lagi
Hidup sendiri-sendiri
Sayangnya semua tak berjalan
Sedangkan bertahan bukan satu pilihan
Sayangnya kita hanya bisa mengenang
Menikmati hujan, lebih indah dari kenyataan
(huuu~~)
Tak lagi wajib kabari
Hidup sendiri-sendiri
Sayangnya semua tak berjalan
Sedangkan bertahan bukan satu pilihan
Sayangnya kita hanya bisa mengenang
Menikmati hujan, lebih indah dari kenyataan
(Sayangnya semua tak berjalan) nananananana~
(Sedangkan bertahan bukan satu pilihan)
Sayangnya kita hanya bisa.. bisa mengenang (huuu~~)
Menikmati hujan, lebih indah dari kenyataan"
Bukan Untukku,Tiara Andini,61,"Tak ku sesali cintaku untukmu
Meskipun dirimu ternyata untukku
Sejak pertama kau mengisi hari-hariku
Aku tak meragu mengapa harus dirimu
Aku takkan bertahan bila tak teryakinkan
Sesungguhnya cintaku memang hanya untukmu
Sungguh ku tak menahan bila jalan suratan
Menuliskan dirimu memang bukan untukku selamanya
Ooh
Kadang aku lelah menantimu
Pastikan cinta untukku ooh
Aku takkan bertahan bila tak teryakinkan
Sesungguhnya cintaku memang hanya untukmu
Sungguh ku tak menahan bila jalan suratan
Menuliskan dirimu memang bukan untukku
Selamanya
Ooh
Aku takkan bertahan bila tak teryakinkan
Sesungguhnya cintaku memang hanya untukmu
Sungguh ku tak menahan bila jalan suratan
Menuliskan dirimu
Oh menuliskan dirimu
Memang bukan untukku
Selamanya"
Piwales Tresno,NDX A.K.A.,65,"Koe tau ono ning atiku
Koe mbiyen ngancani uripku
Saikine koe lungo ninggal janji palsu
Opo iki piwales tresnamu
Ngukir cidro neng njero batinku
Ngopo tego dolanan atiku sak penakmu
Jancuk
Koe malah minggat ro liyane
Ajur atiku sak kabehe
Frustasi sing tak rasakke
Sungguh terlalu dalam
Depresi tak tanggung dewe
Ku menangis dalam diam
Tega kau tusukkan belati di hatiku
Ternyata cinta tak semanis cangkemu
Utekku wes overthinking karo koe
Nanti overheat ndase umep njeblok rasane
Ngodhe Wae
Jroning ati pancen tresno marang nimas
Nanging aku ra biso mbaleni kabeh crito
Koe tau ono ning atiku
Koe mbiyen ngancani uripku
Saikine koe lungo ninggal janji palsu
Opo iki piwales tresnamu
Ngukir cidro neng njero batinku
Ngopo tego dolanan atiku sak penakmu
Stroke, stres semenjak kau tinggal pergi
Psikolog, angkat tangan ra mampu ngobati
Semua yang ku inginkan sekejap lenyap menghilang
Ku sangka ku pilihan ternyata pelarian
Udan deres campur eluhku nyekseni
Yen koe bahagia aku milih mati
Dadi ngeblank tok rusak cintaku ini
Mlaku sing ngati ati karma sing ngeksekusi
Gapi
Jroning ati pancen tresno marang nimas
Nanging aku ra biso, mbaleni kabeh crito
Lupakan saja cerita tentang kita
Sekarang aku lebih bahagia dengan dia
Mas sepurane yen aku milih dee
Lalekno aku cukup tekan semene
Koe tau ono ning atiku
Koe mbiyen ngancani uripku
Saikine koe lungo ninggal janji palsu
Opo iki piwales tresnamu
Ngukir cidro neng njero batinku
Ngopo tego dolanan atiku sak penakmu
Koe tau ono ning atiku
Koe mbiyen ngancani uripku
Saikine koe lungo ninggal janji palsu
Opo iki piwales tresnamu
Ngukir cidro neng njero batinku
Ngopo tego dolanan atiku
Sak penakmu
Mas sepurane
Lalekno aku cukup tekan semene"
Gampil,Guyon Waton,63,"Tak gemateni
Ngancani sliramu pas kowe lagi kelara-lara
Disia-siake karo wong sing tau mbok sayangi
Ning sandingku nganti ilang lara ning atimu
Nganti wis ilang laramu
Nganti padhang mendung ning atimu
Padahal aku wis ngerti (aku wis ngerti)
Isa ngancani ra isa nduweni
Mbiyen tak kira gampang
Ngelalekne sliramu ning njero pikiranku
Jebul tekan saiki ning njero atiku
Isih ana kenanganmu
Aku sing menerke atimu
Aku sing mapakne lakumu
Siji-sijine sing ngerti (sing ngerti)
Ora bakal ngelarani
Malah mbok tinggal karo liyane
Nganti wis ilang laramu
Nganti padhang mendung ning atimu
Padahal aku wis ngerti
Isa ngancani ra isa duweni
Mbiyen tak kira gampang
Ngelalekne sliramu ning njero pikiranku
Jebul tekan saiki ning njero atiku
Isih ana kenanganmu
Aku sing menerke atimu
Aku sing mapakne lakumu
Siji-sijine sing ngerti (sing ngerti)
Ora bakal ngelarani
Malah mbok tinggal karo liyane
Siji-sijine sing ngerti (sing ngerti)
Ora bakal ngelarani
Malah mbok tinggal karo liyane"
Hilang Tanpa Bilang,Meiska,63,"Bukankah kau yang datang kepadaku
Perhatianmu tumbuhkan rasaku
Padahal ku tak pernah meminta padamu
Tapi kau yang lebih dulu
Hadirkan rasa itu
Sekarang kau yang berubah tak tentu
Tiba-tiba kau menjauh dan ragu
Tanpa pernah menjelaskan sesuatu padaku
Hanya diam dan membisu
Bila ada salahku tolong beritahu
Jangan lalu pergi dan menjauh
Kau tawarkan cinta
Kini hilang tanpa bilang
Mungkin mudah bagimu lupakanku
Tapi sulit bagiku tuk hilangkan bayangmu
Ku terlanjur mencintaimu
Sekarang kau yang berubah tak tentu
Tiba-tiba kau menjauh dan ragu
Padahal ku tak pernah meminta padamu
Tapi kau yang lebih dulu
Menghadirkan rasa itu
Bila ada salahku tolong beritahu
Jangan lalu pergi dan menjauh
Kau tawarkan cinta
Kini hilang tanpa bilang
Mungkin mudah bagimu lupakanku
Tapi sulit bagiku tuk hilangkan bayangmu
Ku terlanjur mencintaimu
Andai ku tahu kan sesak ini
Ku takkan mungkin mencintaimu sedalam ini
Sialnya saat kau pergi
Ku terus menanti
Kau yang buatku jatuh hati
Kini hilang tak kembali
Hilang..
Kini kau hilang tanpa bilang
Mungkin mudah bagimu lupakanku
Tapi sulit bagiku tuk hilangkan bayangmu
Ku terlanjur mencintaimu
Andai kita tak pernah bertemu"
Sugeng Dalu,Denny Caknan,47,"Sugeng dalu, ati seng mbiyen tau ngelarani
Wis suwe we ra rene
We lungo mung masalah sepele
We golek liyane
Tambah loro
Yakin we teko nambahi sengsoro
Ngerusak tatanan ati sing wis pengen lali
Karo gedhe duwure balunganmu
Aku wis ora gagas kata luka
Wis cukup wingi, ra pengen baleni
Mario lehmu dolanan ati
Wis wayahe we kapok blenjani
Udan tangise ati, saiki wis rodo terang
Masio isih kadang kelingan
Kowe sing tak sayang-sayang
Saiki mung cerito loro, mpun kadung mbekas ning dodo
Perihe ati sing mbok paringi
Wis cukup ra bakal tak baleni
Aku wis ora gagas kata luka
Wis cukup wingi, ra pengen baleni
Mario lehmu dolanan ati
Wis wayahe we kapok blenjani
Udan tangise ati, saiki wis rodo terang
Masio isih kadang kelingan
Kowe sing tak sayang-sayang
Saiki mung cerito loro, mpun kadung mbekas ning dodo
Perihe ati sing mbok paringi
Wis cukup ra bakal tak baleni
Perihe ati sing mbok paringi
Ora tak baleni
https://www.newshub.id/interactive2/2895"
Lamunan,Denny Caknan,62,"Sumribit angin ratri tansah angenteni
Setya najang telenging ati
Angen angen tumlawung suwung ing wengi sepi
Tansah angranti tekamu dhuh yayi
Wong ayu age nyedhak a ing sandhingku
Nyawang manising esemu
Gawe lerem e rasaku tentrem ing atiku
Haywa pegat tresnamu sayangku
Pindha samudra pasang kang tanpo wangenan
Tresnaku mring sliramu sayang
Cahyaning bulan kang sumunar abyor ing tawang
Yekti sliramu kang dadi lamunan
Wong ayu age nyedhak a ngekep ragaku
Sirnakna lara branta ing atiku
Amerga kabidhung wewayangmu ing pikirku
Haywa pegat tresnamu dhuh sayangku
Pindha samudra pasang kang tanpo wangenan
Tresnaku mring sliramu sayang
Cahyaning bulan kang sumunar abyor ing tawang
Yekti sliramu kang dadi lamunan
Yekti sliramu kang dadi lamunan"
