track,artist,popularity,lyrics,sentiment,lyrics_clean
Rayuan Perempuan Gila,Nadin Amizah,68,"Nadin Amizah merupakan salah satu penyanyi belia yang kini namanya tengah naik daun di industri musik Tanah Air. Dalam beberapa waktu terakhir ini, lagunya yang bertajuk 'Rayuan Perempuan Gila' viral dan diganderungi oleh para pecinta musik. Selain komposisi yang menenangkan, lirik lagu 'Rayuan Perempuan Gila' juga begitu dalam dan penuh makna. Simak di bawah ini..
Menurutmu, berapa lama lagi kau kan mencintaiku?
Menurutmu, apa yang bisa terjadi dalam sewindu
Bukan apa hanya bersiap tak ada yang tahu
Aku takut
Tak pernah ada yang lama menungguku sejak dulu
Yang terjadi sebelumnya, semua orang takut padaku
Memang tidak mudah mencintai diri ini
Namun, aku berjanji akan mereda seperti semestinya
Menurutmu, apa benar saat ini kau masih mencintaiku?
Menurutmu, apa yang bisa dicinta dari diriku?
Bukan apa hanya bersiap tak ada yang tahu
Aku takut
Tak pernah ada yang lama menungguku sejak dulu
Yang terjadi sebelumnya, semua orang takut padaku
Panggil aku perempuan gila
Hantu berkepala keji membunuh kasihnya
Penuh ganggu di dalam jiwanya
Sambil penuh cinta diam-diam berusaha
Selalu tahu akan ditinggalkan
Namun, demi Tuhan
Aku berusaha
Memang tidak mudah mencintai diri ini
Namun, aku berjanji akan mereda seperti semestinya (uh-uh)
Memang tidak mudah mencintai diri ini
Namun, aku berjanji akan mereda seperti semestinya",sangat populer,menurutmu berapa lama lagi kau kan mencintaiku menurutmu apa yang bisa terjadi dalam sewindu bukan apa hanya bersiap tak ada yang tahu aku takut tak pernah ada yang lama menungguku sejak dulu yang terjadi sebelumnya semua orang takut padaku memang tidak mudah mencintai diri ini namun aku berjanji akan mereda seperti semestinya menurutmu apa benar saat ini kau masih mencintaiku menurutmu apa yang bisa dicinta dari diriku bukan apa hanya bersiap tak ada yang tahu aku takut tak pernah ada yang lama menungguku sejak dulu yang terjadi sebelumnya semua orang takut padaku panggil aku perempuan gila hantu berkepala keji membunuh kasihnya penuh ganggu di dalam jiwanya sambil penuh cinta diamdiam berusaha selalu tahu akan ditinggalkan namun demi tuhan aku berusaha memang tidak mudah mencintai diri ini namun aku berjanji akan mereda seperti semestinya uhuh memang tidak mudah mencintai diri ini namun aku berjanji akan mereda seperti semestinya
Pelanggaran,Guyon Waton,68,"Tegel kowe nglarani wong koyo aku
Sing wis nompo elek apike uripmu
Lilo aku lilo berjuang mati-matian
Nanging kowe malah milih demikian
Isa-isane koe ngarang cerito
Nangis kelaran nutupi kesalahan
Sok-sokan cidro padahal sing nggawe loro
Dramamu uwis tak woco lungo o aku ra gelo
Trimo ngalih ngempet perih
Tak angkat gendero putih
Aku nyerah lambaikan tangan
Dadah sayang tresnoku wes ilang
Sepurane sayang atimu wes kebobolan
Ora iso njogo perasaan
Kowe main belakang
Kabeh rosoku tak buang
Pelanggaran kowe tak kartu abang
Isa-isane koe ngarang cerito
Nangis kelaran nutupi kesalahan
Sok-sokan cidro padahal sing nggawe loro
Dramamu uwis tak woco lungo o aku ra gelo
Trimo ngalih ngempet perih
Tak angkat gendero putih
Aku nyerah lambaikan tangan
Dadah sayang tresnoku wes ilang
Sepurane sayang atimu wes kebobolan
Ora iso njogo perasaan
Kowe main belakang
Kabeh rosoku tak buang
Pelanggaran kowe tak kartu abang
Kowe main belakang
Kabeh rosoku tak buang
Pelanggaran kowe tak kartu abang",sangat populer,tegel kowe nglarani wong koyo aku sing wis nompo elek apike uripmu lilo aku lilo berjuang matimatian nanging kowe malah milih demikian isaisane koe ngarang cerito nangis kelaran nutupi kesalahan soksokan cidro padahal sing nggawe loro dramamu uwis tak woco lungo o aku ra gelo trimo ngalih ngempet perih tak angkat gendero putih aku nyerah lambaikan tangan dadah sayang tresnoku wes ilang sepurane sayang atimu wes kebobolan ora iso njogo perasaan kowe main belakang kabeh rosoku tak buang pelanggaran kowe tak kartu abang isaisane koe ngarang cerito nangis kelaran nutupi kesalahan soksokan cidro padahal sing nggawe loro dramamu uwis tak woco lungo o aku ra gelo trimo ngalih ngempet perih tak angkat gendero putih aku nyerah lambaikan tangan dadah sayang tresnoku wes ilang sepurane sayang atimu wes kebobolan ora iso njogo perasaan kowe main belakang kabeh rosoku tak buang pelanggaran kowe tak kartu abang kowe main belakang kabeh rosoku tak buang pelanggaran kowe tak kartu abang
Tak Ingin Usai,Keisya Levronka,68,"Lagu Tak Ingin Usai milik Keisya Levronka tiba-tiba jadi viral bukan main. Salah satu alasannya tak lain karena Keisya Levronka beberapa kali kedapatan tak bisa menyanyikan lagunya dengan sempurna saat tampil secara live. Lalu seperti apa lirik lagunya? Cek di bawah ya..
Berdiri
Ku memutar waktu
Teringat
Kamu yang dulu
Ada di sampingku setiap hari
Jadi sandaran ternyaman
Saat ku lemah saat ku lelah
Ho wo wo
Tersadar
Ku tinggal sendiri
Merenungi
Semua yang tak mungkin
Bisa ku putarkan kembali s'perti dulu
Ku bahagia tapi semuanya hilang tanpa sebab
Kauhentikan semuanya
Ho oh oh
Terluka dan menangis tapi ku terima
Semua keputusan yang telah kau buat
Satu yang harus kau tahu
Ku menanti kau tuk kembali
Jujur ku tak ingin engkau pergi
Tinggalkan semua usai di sini
Tak tertahan air mata ini
Mengingat semua yang t'lah terjadi
Ku tahu kau pun sama s'perti aku
Tak ingin cinta usai di sini
Tapi mungkin inilah jalannya
Harus berpisah ho oh ho
Terluka dan menangis tapi ku terima
Semua keputusan yang telah kau buat
Satu yang harus kau tahu
Ku menanti kau tuk kembali
Ho ho wo oh
Tinggalkan semua usai di sini
Ku tahu kau pun sama s'perti aku
Tak ingin cinta usai di sini
Tapi mungkin inilah jalannya
Harus berpisah ho oh
Berharap suatu saat nanti
Kau dan aku kan bertemu lagi
S'perti yang kau ucapkan
S'belum kau tinggalkan aku",sangat populer,lagu tak ingin usai milik keisya levronka tibatiba jadi viral bukan main salah satu alasannya tak lain karena keisya levronka beberapa kali kedapatan tak bisa menyanyikan lagunya dengan sempurna saat tampil secara live lalu seperti apa lirik lagunya cek di bawah ya berdiri ku memutar waktu teringat kamu yang dulu ada di sampingku setiap hari jadi sandaran ternyaman saat ku lemah saat ku lelah ho wo wo tersadar ku tinggal sendiri merenungi semua yang tak mungkin bisa ku putarkan kembali sperti dulu ku bahagia tapi semuanya hilang tanpa sebab kauhentikan semuanya ho oh oh terluka dan menangis tapi ku terima semua keputusan yang telah kau buat satu yang harus kau tahu ku menanti kau tuk kembali jujur ku tak ingin engkau pergi tinggalkan semua usai di sini tak tertahan air mata ini mengingat semua yang tlah terjadi ku tahu kau pun sama sperti aku tak ingin cinta usai di sini tapi mungkin inilah jalannya harus berpisah ho oh ho terluka dan menangis tapi ku terima semua keputusan yang telah kau buat satu yang harus kau tahu ku menanti kau tuk kembali ho ho wo oh tinggalkan semua usai di sini ku tahu kau pun sama sperti aku tak ingin cinta usai di sini tapi mungkin inilah jalannya harus berpisah ho oh berharap suatu saat nanti kau dan aku kan bertemu lagi sperti yang kau ucapkan sbelum kau tinggalkan aku
Sinyal-Sinyal,Bernadya,67,"[Verse 1]
Sinyal-sinyal darimu tak jelas
Atau mungkin aku kurang cerdas
Kadang rasanya seperti
Tak ada batas antara kita
Kadang seolah tak saling kenal
[Verse 2]
Kau terbangkan aku tinggi-tinggi
Jatuhkan lalu kau tinggal pergi
Siapa yang salah di sini?
Atau mungkin ekspektasi
Memang tak boleh terlalu tinggi
[Pre-Chorus]
Ingin berhenti berharap
Namun tanpamu tak lengkap
[Chorus]
Mungkinkah pertanda?
Mungkin kau bercanda
Mungkin aku terlalu perasa
Mungkin kau tak bermaksud
Tapi aku terlanjur berharap lebih
[Verse 3]
Bosan sudah dengan teka-teki
Tebak-menebak pun ku tak ahli
Tuk memulai tak ada nyali
Tuk akhiri, ku tak ingin
Kau berlalu tanpa kumiliki
[Chorus]
Mungkinkah pertanda?
Mungkin kau bercanda
Mungkin aku terlalu perasa
Mungkin kau tak bermaksud
Tapi aku terlanjur berharap lebih
[Chorus: Bernadya, Rendy Pandugo]
Mungkin suatu saat, mungkin sesaat
Kita lebih dekat, kita harus bicara
Mungkin juga kau hanya sesaat
Mungkin kau ada juga
Pikirkan hal serupa
Namun sepertinya hanya aku saja
[Pre-Chorus]
Ingin berhenti berharap
Namun tanpamu tak lengkap
[Chorus]
Mungkinkah pertanda?
Mungkin kau bercanda
Mungkin aku terlalu perasa
Mungkin kau tak bermaksud
Tapi aku terlanjur berharap lebih
[Chorus: Bernadya, Rendy Pandugo]
Mungkin suatu saat, mungkin sesaat
Kita lebih dekat, kita harus bicara
Mungkin juga kau hanya sesaat
Mungkin kau ada juga
Pikirkan hal serupa
Namun sepertinya hanya aku saja",sangat populer,sinyalsinyal darimu tak jelas atau mungkin aku kurang cerdas kadang rasanya seperti tak ada batas antara kita kadang seolah tak saling kenal kau terbangkan aku tinggitinggi jatuhkan lalu kau tinggal pergi siapa yang salah di sini atau mungkin ekspektasi memang tak boleh terlalu tinggi ingin berhenti berharap namun tanpamu tak lengkap mungkinkah pertanda mungkin kau bercanda mungkin aku terlalu perasa mungkin kau tak bermaksud tapi aku terlanjur berharap lebih bosan sudah dengan tekateki tebakmenebak pun ku tak ahli tuk memulai tak ada nyali tuk akhiri ku tak ingin kau berlalu tanpa kumiliki mungkinkah pertanda mungkin kau bercanda mungkin aku terlalu perasa mungkin kau tak bermaksud tapi aku terlanjur berharap lebih mungkin suatu saat mungkin sesaat kita lebih dekat kita harus bicara mungkin juga kau hanya sesaat mungkin kau ada juga pikirkan hal serupa namun sepertinya hanya aku saja ingin berhenti berharap namun tanpamu tak lengkap mungkinkah pertanda mungkin kau bercanda mungkin aku terlalu perasa mungkin kau tak bermaksud tapi aku terlanjur berharap lebih mungkin suatu saat mungkin sesaat kita lebih dekat kita harus bicara mungkin juga kau hanya sesaat mungkin kau ada juga pikirkan hal serupa namun sepertinya hanya aku saja
Melawan Restu,Mahalini,67,"Indah semua cerita
Yang t'lah terlewati
Dalam satu cinta
Kita yang pernah bermimpi
Jalani semua
Hanya ada kita
Namun ternyata
Pada akhirnya
Tak mungkin bisa kupaksa
Restunya tak berpihak
Pada kita
Mungkinkah aku meminta
Kisah kita selamanya
Tak terlintas dalam benakku
Bila hariku tanpamu
S'gala cara t'lah ku coba
Pertahankan cinta kita
S'lalu kutitipkan dalam doaku
Tapi ku tak mampu
Melawan restu
Namun ternyata
Pada akhirnya
Tak mungkin bisa kupaksa
Restunya tak berpihak
Pada kita
Mungkinkah aku meminta
Kisah kita selamanya
Tak terlintas dalam benakku
Bila hariku tanpamu
S'gala cara t'lah ku coba
Pertahankan cinta kita
S'lalu kutitipkan dalam doaku
Tapi ku tak mampu
Melawan restu, hu-uu
Ho-oo-oo, ho-oo-oo
Mungkinkah aku meminta
Kisah kita selamanya
Tak terlintas dalam benakku
Bila hariku tanpamu
S'gala cara t'lah ku coba
Pertahankan cinta kita
S'lalu kutitipkan dalam doaku
Tapi ku tak mampu
Melawan restu",sangat populer,indah semua cerita yang tlah terlewati dalam satu cinta kita yang pernah bermimpi jalani semua hanya ada kita namun ternyata pada akhirnya tak mungkin bisa kupaksa restunya tak berpihak pada kita mungkinkah aku meminta kisah kita selamanya tak terlintas dalam benakku bila hariku tanpamu sgala cara tlah ku coba pertahankan cinta kita slalu kutitipkan dalam doaku tapi ku tak mampu melawan restu namun ternyata pada akhirnya tak mungkin bisa kupaksa restunya tak berpihak pada kita mungkinkah aku meminta kisah kita selamanya tak terlintas dalam benakku bila hariku tanpamu sgala cara tlah ku coba pertahankan cinta kita slalu kutitipkan dalam doaku tapi ku tak mampu melawan restu huuu hooooo hooooo mungkinkah aku meminta kisah kita selamanya tak terlintas dalam benakku bila hariku tanpamu sgala cara tlah ku coba pertahankan cinta kita slalu kutitipkan dalam doaku tapi ku tak mampu melawan restu
Bunga Hati,Salma Salsabil,66,"Sekian lamanya kita tak berjumpa
Namun tak sengaja berpapasan ku denganmu
Tatapan yang sama, rasanya yang lama
Namun ku kecewa kau tak peka
Ow...
Telah lama ku menunggu dirimu
'Tuk coba hubungiku, salah hatiku berharap padamu
Mencari yang tak pasti
Wahai kau bunga hati ku menanti dirimu
Sekian lamanya kita tak berjumpa
Namun tak sengaja (berpapasan ku denganmu)
Tatapan yang sama (rasa yang lama)
Namun ku kecewa kau tak peka...
Telah lama ku menunggu dirimu
'Tuk coba hubungiku, salah hatiku berharap padamu
Mencari yang tak pasti
Wahai kau bunga hati ku menanti dirimu
Bayangmu masih ada di sini selalu untukku...
U wu u huu
(telah lama ku menunggu dirimu)
(salah hatiku, berharap padamu)
Telah lama ku menunggu dirimu
'Tuk coba hubungiku, salah hatiku berharap padamu
Mencari yang tak pasti
Wahai kau bunga hati ku menanti dirimu
(wahai kau bunga hati)
Menanti dirimu...",sangat populer,sekian lamanya kita tak berjumpa namun tak sengaja berpapasan ku denganmu tatapan yang sama rasanya yang lama namun ku kecewa kau tak peka ow telah lama ku menunggu dirimu tuk coba hubungiku salah hatiku berharap padamu mencari yang tak pasti wahai kau bunga hati ku menanti dirimu sekian lamanya kita tak berjumpa namun tak sengaja berpapasan ku denganmu tatapan yang sama rasa yang lama namun ku kecewa kau tak peka telah lama ku menunggu dirimu tuk coba hubungiku salah hatiku berharap padamu mencari yang tak pasti wahai kau bunga hati ku menanti dirimu bayangmu masih ada di sini selalu untukku u wu u huu telah lama ku menunggu dirimu salah hatiku berharap padamu telah lama ku menunggu dirimu tuk coba hubungiku salah hatiku berharap padamu mencari yang tak pasti wahai kau bunga hati ku menanti dirimu wahai kau bunga hati menanti dirimu
Niscaya,Bilal Indrajaya,66,"Semua takkan musnah
Telanjur abadi
Semua yang telah lalu
Takkan menggontai pilu
Semua tak terlupa
Telah terukir nyata
Takkan pernah tergumam
'Tuk menepis bayangmu
Tak berdaya bila harus meninggalkanmu selalu
Selalu, selagi merindu
Tak senada nirmalamu seraya binar murungmu
Selalu, selagi merindu
Selalu
Merindu
Semua takkan musnah
Telanjur abadi
Takkan pernah tergumam
'Tuk menepis bayangmu
Tak berdaya bila harus meninggalkanmu selalu
Selalu, selagi merindu
Tak senada nirmalamu seraya binar murungmu
Selalu, selagi merindu
Selalu merindu
Selalu, bila harus jujur
Selalu merindu
Selalu, bila harus jujur
Oh, sadarkah diriku tak mudah
Memaksa hati untuk mencinta
Tak berdaya bila harus meninggalkanmu selalu
Selalu, selagi merindu
Tak berdaya bila harus meninggalkanmu selalu
Selalu, selagi merindu
Tak senada nirmalamu seraya binar murungmu
Selalu, selagi merindu
Meski di hatiku kau yang pertama, ya, oh-ya, oh-ya
(Meski di hati kau yang pertama, ya)
Meski kau ada di hati
Oh, maafkan bila kamu terluka (kau terluka)",sangat populer,semua takkan musnah telanjur abadi semua yang telah lalu takkan menggontai pilu semua tak terlupa telah terukir nyata takkan pernah tergumam tuk menepis bayangmu tak berdaya bila harus meninggalkanmu selalu selalu selagi merindu tak senada nirmalamu seraya binar murungmu selalu selagi merindu selalu merindu semua takkan musnah telanjur abadi takkan pernah tergumam tuk menepis bayangmu tak berdaya bila harus meninggalkanmu selalu selalu selagi merindu tak senada nirmalamu seraya binar murungmu selalu selagi merindu selalu merindu selalu bila harus jujur selalu merindu selalu bila harus jujur oh sadarkah diriku tak mudah memaksa hati untuk mencinta tak berdaya bila harus meninggalkanmu selalu selalu selagi merindu tak berdaya bila harus meninggalkanmu selalu selalu selagi merindu tak senada nirmalamu seraya binar murungmu selalu selagi merindu meski di hatiku kau yang pertama ya ohya ohya meski di hati kau yang pertama ya meski kau ada di hati oh maafkan bila kamu terluka kau terluka
Bersamamu,Jaz,66,"Bersamamu, kita akan taklukan dunia
Arungi samudra penuh rintangan
Bersamamu, kita akan jalani semua
Jangan takut untuk melangkah bersamaku (bersama)
Bersamamu, ku akan dicintai dengan tulus
Tanpa ragu, ku akan memberikan cintaku
Bersamaku, kamu tak akan sendu
Yakinkan kamu aku yang terbaik untukmu
Bersamamu, kita kan jelajahi semesta
Bertualang dengan cerita kita
Bersamamu, kita akan berbagi semua
Segala baik dan buruk diriku
Ku tahu kau ragu
Biar ku beri tahu padamu
Bersamamu, ku akan dicintai dengan tulus
Tanpa ragu, ku akan memberikan cintaku
Bersamaku, kamu tak akan sendu
Yakinkan kamu aku yang terbaik untukmu
Buka hatimu
Segala rasa yang kuberikan untukmu
Bersamamu, ku akan dicintai dengan tulus
Tanpa ragu, ku akan memberikan cintaku
Bersamaku, kamu tak akan sendu
Yakinkan kamu aku yang terbaik untukmu
Bersamamu, ku akan dicintai dengan tulus
Tanpa ragu, ku akan memberikan cintaku
Bersamaku, kamu tak akan sendu
Yakinkan kamu aku yang terbaik untukmu
Yakinkan kamu, yang terbaik untukmu",sangat populer,bersamamu kita akan taklukan dunia arungi samudra penuh rintangan bersamamu kita akan jalani semua jangan takut untuk melangkah bersamaku bersama bersamamu ku akan dicintai dengan tulus tanpa ragu ku akan memberikan cintaku bersamaku kamu tak akan sendu yakinkan kamu aku yang terbaik untukmu bersamamu kita kan jelajahi semesta bertualang dengan cerita kita bersamamu kita akan berbagi semua segala baik dan buruk diriku ku tahu kau ragu biar ku beri tahu padamu bersamamu ku akan dicintai dengan tulus tanpa ragu ku akan memberikan cintaku bersamaku kamu tak akan sendu yakinkan kamu aku yang terbaik untukmu buka hatimu segala rasa yang kuberikan untukmu bersamamu ku akan dicintai dengan tulus tanpa ragu ku akan memberikan cintaku bersamaku kamu tak akan sendu yakinkan kamu aku yang terbaik untukmu bersamamu ku akan dicintai dengan tulus tanpa ragu ku akan memberikan cintaku bersamaku kamu tak akan sendu yakinkan kamu aku yang terbaik untukmu yakinkan kamu yang terbaik untukmu
Di Akhir Perang,Nadin Amizah,65,"Perlahan akan
Kuajarkan cara
Menanam, menuai
Baik buruk di dunia
Kuwarnai tanganmu yang mati
Biar kau tahu dunia tak lagi menyakiti
Dan kubisikkan asal kau tahu bagaimana
Rasanya bahagia sepenuhnya sampai
Ku merasa lega, kau merasa lega
Ku sampai di sana
Perlahan telah
Kau ajarkan cara
Menerima rasa
Baik buruk yang ku punya
Kau panggil jahat yang menyelimuti
Sampai ku tahu dunia tak lagi menyakiti
Dan kubisikkan asal kau tahu bagaimana
Rasanya bahagia sepenuhnya sampai
Ku merasa lega, kau merasa lega
Ku sampai di sana
Perang telah usai
Perang telah usai
Aku bisa pulang
Kubaringkan panah
Dan berteriak, ""Menang""
Dan kubisikkan asal kau tahu bagaimana
Rasanya bahagia sepenuhnya sampai
Ku merasa lega, kau merasa lega
Ku sampai di sana, kau sampai di sana
Ku sampai di sana, kau sampai di sana",sangat populer,perlahan akan kuajarkan cara menanam menuai baik buruk di dunia kuwarnai tanganmu yang mati biar kau tahu dunia tak lagi menyakiti dan kubisikkan asal kau tahu bagaimana rasanya bahagia sepenuhnya sampai ku merasa lega kau merasa lega ku sampai di sana perlahan telah kau ajarkan cara menerima rasa baik buruk yang ku punya kau panggil jahat yang menyelimuti sampai ku tahu dunia tak lagi menyakiti dan kubisikkan asal kau tahu bagaimana rasanya bahagia sepenuhnya sampai ku merasa lega kau merasa lega ku sampai di sana perang telah usai perang telah usai aku bisa pulang kubaringkan panah dan berteriak menang dan kubisikkan asal kau tahu bagaimana rasanya bahagia sepenuhnya sampai ku merasa lega kau merasa lega ku sampai di sana kau sampai di sana ku sampai di sana kau sampai di sana
Kisah Sempurna,Mahalini,66,"Kisah Sempurna merupakan salah lagu dari Mahalini penyanyi asal Indonesia yang dirilis pada tahun 2022. Mari kita simak liriknya di bawah ini.
Tenggelam, jiwaku dalam angan
Tersesat, hilang, dan tak tahu arah
Ku terjebak masa lalu yang kelam
Tak kulihat lagi cahaya cinta
Dan kamu hadir coba bawa bahagia
Ketika ku masih mati rasa
Kar'na
Dia yang pertama membuatku cinta
Dia juga yang pertama membuatku kecewa
Kamu yang pertama menyembuhkan luka
Tak ingin lagi ku mengulang keliru akan cinta
Jadi kisah yang sempurna
Tenggelam, jiwaku dalam angan
Tak kulihat lagi cahaya cinta
Dan kamu hadir coba bawa bahagia
Ketika ku masih mati rasa
Kar'na
Dia yang pertama membuatku cinta
Dia juga yang pertama membuatku kecewa
Kamu yang pertama menyembuhkan luka
Tak ingin lagi ku mengulang keliru akan cinta
Jadi kisah yang sempurna, wo-oh
Tuhan, yakinkan cinta ini, wo-oh-oh
Hati yang terkunci, terbuka kembali
Dia yang pertama membuatku cinta
Dia juga yang pertama membuatku kecewa
Kamu yang pertama menyembuhkan luka
Tak ingin lagi ku mengulang keliru akan cinta
ho-oh-oh
Dia juga pertama membuatku kecewa
(Dia yang pertama)
Kamu yang sembuhkan luka
(Tak ingin lagi ku mengulang) ho-oh-oh
Ho-wo-oh
Kamu untuk selamanya",sangat populer,tenggelam jiwaku dalam angan tersesat hilang dan tak tahu arah ku terjebak masa lalu yang kelam tak kulihat lagi cahaya cinta dan kamu hadir coba bawa bahagia ketika ku masih mati rasa karna dia yang pertama membuatku cinta dia juga yang pertama membuatku kecewa kamu yang pertama menyembuhkan luka tak ingin lagi ku mengulang keliru akan cinta jadi kisah yang sempurna tenggelam jiwaku dalam angan tak kulihat lagi cahaya cinta dan kamu hadir coba bawa bahagia ketika ku masih mati rasa karna dia yang pertama membuatku cinta dia juga yang pertama membuatku kecewa kamu yang pertama menyembuhkan luka tak ingin lagi ku mengulang keliru akan cinta jadi kisah yang sempurna wooh tuhan yakinkan cinta ini woohoh hati yang terkunci terbuka kembali dia yang pertama membuatku cinta dia juga yang pertama membuatku kecewa kamu yang pertama menyembuhkan luka tak ingin lagi ku mengulang keliru akan cinta hoohoh dia juga pertama membuatku kecewa dia yang pertama kamu yang sembuhkan luka tak ingin lagi ku mengulang hoohoh howooh kamu untuk selamanya
Cundamani,Denny Caknan,65,"Saben wayah wengi
Mikirno isi ati
Opo tenano tresno iki
Dadi siji
Mantep anggonku mikir
Ra ono sitik kuatir
Cerito iki
Bakal apik ke ukir
Yakin-yakin no
Yakin aku tenanan
Sumpah ing janji
Iluhku netes tenan
Kurang-kurange
Kurangku sepurane
Cen anane ngene
Sayang
Titip rogoku
Titip roso tresnaku
Seneng iki mung koe seng ngerti
Dadio konco ceritaku
Sepanjang uripku
Lintang
Suwon ngancani
Suwon sampun nyekseni
Padangi dalan seng tak lewati
Cidro ne ati
Gusti pun ngrampungi
Kurang-kurange
Kurangku sepurane
Cen anane ngene",sangat populer,saben wayah wengi mikirno isi ati opo tenano tresno iki dadi siji mantep anggonku mikir ra ono sitik kuatir cerito iki bakal apik ke ukir yakinyakin no yakin aku tenanan sumpah ing janji iluhku netes tenan kurangkurange kurangku sepurane cen anane ngene sayang titip rogoku titip roso tresnaku seneng iki mung koe seng ngerti dadio konco ceritaku sepanjang uripku lintang suwon ngancani suwon sampun nyekseni padangi dalan seng tak lewati cidro ne ati gusti pun ngrampungi kurangkurange kurangku sepurane cen anane ngene
Kalah,Aftershine,64,"Apa ora kelingan
Wingi nggenggem tanganku? (Nggenggem tanganku)
Curhat tentang mantanmu
Ning saiki malah ninggal aku
Aku pamit, Sayangku
Tak culne genggamanku
Matur suwun uwis mayungi derese udanku
Lan ngancani kesepianku wingi
Terus nggo ngapa aku ngancani
Selama iki?
Yen akhire kowe mileh
Bali ning mantanmu
Seka mangan nganti nurut dawane dalan
Tak turuti, berharap isa nduweni (isa nduweni)
Wis tak korbanke wektuku
Iseh wae kalah karo mantanmu
Sakgedhene rasa lan usahamu nggo aku
Ra isa ngganteni dhekne ning atiku (dhekne ning atiku)
Ngapurane, Sayangku
Sing menang, tetep masa laluku
Tak akoni sikapku wingi mung ngapusi
Seolah mencintaimu
Sakgedhene langit, aku sing kleru
Ngartekke sikapmu
Terus nggo ngapa aku ngancani
Selama iki?
Yen akhire kowe mileh
Bali ning mantanmu
Seka mangan nganti nurut dawane dalan
Tak turuti, berharap bisa nduweni (bisa nduweni)
Wis tak korbanke wektuku
Iseh wae kalah karo mantanmu
Sakgedhene rasa lan usahamu nggo aku
Ra isa ngganteni dhekne ning atiku (dhekne ning atiku)
Ngapurane, Sayangku
Sing menang, masa laluku
Kudune awakku sing dadi pilihanmu (nanging, tresnaku udu kowe)
Ngapa kudu masa lalumu? (Aku ra isa nglalekne cerita wingi)
Tak akoni kekalahanku, wo-oh (ho-oh)
Tak pikir wektu sing wis awak dhewe entekne
Tandha yen awakmu nrima perasaanku
Ngapurane, Sayangku
Sing menang, tetep masa laluku
Aku ngerti, Sayangku
Sing menang, tetep masa lalumu, ha-ah-ah",sangat populer,apa ora kelingan wingi nggenggem tanganku nggenggem tanganku curhat tentang mantanmu ning saiki malah ninggal aku aku pamit sayangku tak culne genggamanku matur suwun uwis mayungi derese udanku lan ngancani kesepianku wingi terus nggo ngapa aku ngancani selama iki yen akhire kowe mileh bali ning mantanmu seka mangan nganti nurut dawane dalan tak turuti berharap isa nduweni isa nduweni wis tak korbanke wektuku iseh wae kalah karo mantanmu sakgedhene rasa lan usahamu nggo aku ra isa ngganteni dhekne ning atiku dhekne ning atiku ngapurane sayangku sing menang tetep masa laluku tak akoni sikapku wingi mung ngapusi seolah mencintaimu sakgedhene langit aku sing kleru ngartekke sikapmu terus nggo ngapa aku ngancani selama iki yen akhire kowe mileh bali ning mantanmu seka mangan nganti nurut dawane dalan tak turuti berharap bisa nduweni bisa nduweni wis tak korbanke wektuku iseh wae kalah karo mantanmu sakgedhene rasa lan usahamu nggo aku ra isa ngganteni dhekne ning atiku dhekne ning atiku ngapurane sayangku sing menang masa laluku kudune awakku sing dadi pilihanmu nanging tresnaku udu kowe ngapa kudu masa lalumu aku ra isa nglalekne cerita wingi tak akoni kekalahanku wooh hooh tak pikir wektu sing wis awak dhewe entekne tandha yen awakmu nrima perasaanku ngapurane sayangku sing menang tetep masa laluku aku ngerti sayangku sing menang tetep masa lalumu haahah
